id_curso;nome_curso;Link;eixos_tematicos;certificador;conteudista;carga_horaria;disponibilidade_dias;tipo_oferta;apresentacao;publico_alvo;conteudo_programatico;data_lancamento;Acessibilidade;Observacao
615;Acessibilidade na Comunicação;https://www.escolavirtual.gov.br/curso/615;Comunicação;Enap;Ministério dos Direitos Humanos e Cidadania;30;30;Curso Aberto;Neste curso, você irá compreender o conceito biopsicossocial e as terminologias ligadas às pessoas com deficiência. Entrará em contato com a legislação, compreenderá como utilizar recursos e técnicas que melhoram a acessibilidade, além de ver exemplos práticos de comunicação acessível, tanto em eventos presenciais como em conteúdo web e impresso. Inscreva-se agora e tenha oportunidade de compreender como a comunicação pode ser mais acessível e democrática para todos!;Servidores públicos, trabalhadores do setor privado, estudantes e população geral. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;"Módulo 1: Conceito biopsicossocial, terminologia e demografia da pessoa com deficiência;Módulo 2: Legislação e atribuições dos gestores na comunicação acessível;Módulo 3: Recursos e técnicas de acessibilidade na comunicação;Módulo 4: Exemplos e práticas de comunicação acessível.";21/11/2021;;
1347;Comunicação Assertiva: Oratória, Retórica e Técnicas de Apresentação;https://www.escolavirtual.gov.br/curso/1347;Comunicação;Enap;Secretaria Especial da Receita Federal do Brasil;50;30;Curso Aberto;Neste curso, você vai compreender e aplicar os princípios da comunicação assertiva em diferentes contextos culturais, utilizando elementos e estratégias de retórica e oratória para formular argumentos eficazes e engajar o público-alvo.;Gestores públicos, servidores públicos e todo cidadão interessado na temática. Curso aberto, gratuito e com certificado.;Módulo 1 - Fundamentos da comunicação assertivaMódulo 2 - Linguagem e contextos culturaisMódulo 3 - Retórica e oratóriaMódulo 4 - Linguagem corporal e medo de falar em públicoMódulo 5 - Formulação de argumentos e engajamento do públicoMódulo 6 - Comunicação escrita assertiva;25/02/2025;;
463;Comunicação não violenta;https://www.escolavirtual.gov.br/curso/463;Comunicação;Enap;Secretaria Especial da Receita Federal do Brasil;20;30;Curso Aberto;O que você entende por Comunicação Não Violenta (CNV)? Quer conhecer sobre este assunto? Este curso apresenta os principais conceitos e pilares para a realização de uma comunicação mais assertiva e empática. Há dicas importantes para o aperfeiçoamento pessoal que você não pode deixar de conhecer. Faça sua inscrição e saiba mais!;Agentes públicos que atuam na concepção, no desenvolvimento, na execução e na avaliação de soluções de capacitação para desenvolvimento de competências. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;"Módulo 1: Introdução;Módulo 2: Observar;Módulo 3: Sentir;Módulo 4: Reconhecer;Módulo 5: Pedir;Módulo 6: Na prática";21/06/2022;;
60716;Curso Básico - CANVA;https://moodle.ebserh.gov.br/course/view.php?id=60716;Comunicação;3EC ;EBSERH;2;0;Curso Aberto;Um dos objetivos do Curso Básico CANVA é conhecer a ferramenta de edição de imagens CANVA e estimular o senso criativo dos estudantes/colaboradores.; Todos os colaboradores da Rede Ebserh, incluindo seus residentes e estagiários.;Um dos objetivos do Curso Básico CANVA é conhecer a ferramenta de edição de imagens CANVA e estimular o senso criativo dos estudantes/colaboradores.;;;
1241;Eixo 1 - Expressando ideias e conceitos Programa - Comunicação;https://www.escolavirtual.gov.br/curso/1241;Comunicação;Enap;Enap - Escola Nacional de Administração Pública;105;365;Curso Aberto;Para desenvolver a competência de comunicação entre servidores públicos, é essencial identificar o contexto da comunicação, compreendendo o ambiente organizacional e o papel que o servidor desempenha, assim como as particularidades do interlocutor.;Desenvolvida com foco em servidoras e servidores públicos em geral. Trilha de aprendizagem aberta, gratuita e com certificado. Qualquer pessoa pode se inscrever.;Expressando ideias e conceitos;23/10/2024;;
1240;Eixo 2 - Escutar de forma efetiva Programa - Comunicação;https://www.escolavirtual.gov.br/curso/1240;Comunicação;Enap;Enap - Escola Nacional de Administração Pública;80;365;Curso Aberto;A escuta efetiva, fundamental para uma comunicação eficiente, requer que o servidor atue com inteligência emocional, sabendo gerenciar suas próprias emoções e responder de forma equilibrada e adequada às interações.;Desenvolvida com foco em servidoras e servidores públicos em geral. Trilha de aprendizagem aberta, gratuita e com certificado. Qualquer pessoa pode se inscrever.;Escutar de forma efetiva;23/10/2024;;
1239;Eixo 3 - Interagir de forma produtiva Programa - Comunicação;https://www.escolavirtual.gov.br/curso/1239/;Comunicação;Enap;Enap - Escola Nacional de Administração Pública;59;365;Curso Aberto;Para desenvolver a competência de comunicação, é essencial interagir de forma produtiva, o que inclui cultivar relações interpessoais saudáveis e respeitar a diversidade.;Desenvolvida com foco em servidoras e servidores públicos em geral. Trilha de aprendizagem aberta, gratuita e com certificado. Qualquer pessoa pode se inscrever.;Interagir de forma produtiva;23/10/2024;;
41;eMAG Conteudista;https://www.escolavirtual.gov.br/curso/41;Comunicação;Enap;Ministério da Fazenda;20;30;Curso Aberto;O curso é baseado no Modelo de Acessibilidade em Governo Eletrônico (e-MAG). Esse modelo norteia o desenvolvimento e a adaptação dos conteúdos digitais do governo federal para que sejam acessíveis a todas as pessoas. A proposta do curso é fornecer noções básicas de acessibilidade na Web para as pessoas que trabalhem com inclusão de conteúdos em sites e portais.;Servidores públicos federais que atuem no desenvolvimento de sites. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;1 Acessibilidade na Web 1.1 Tipos de deficiências1.2 Uso de Tecnologias Assistivas 2 Diretrizes de acessibilidade 2.1 Desenvolvimento de conteúdos acessíveis na Web2.2 Avaliação de acessibilidade2.3 Apresentação de recursos e ferramentas;14/04/2015;;
674;Eventos Virtuais: da Gestão à Execução;https://www.escolavirtual.gov.br/curso/674;Comunicação;Enap;Enap - Escola Nacional de Administração Pública;20;30;Curso Aberto;Quer se destacar no mundo digital e tornar sua empresa reconhecida? Então chegou a hora de aprender a lidar com os eventos virtuais. Neste curso você compreenderá como elaborar um evento e colocá-lo em prática. Aprenderá as técnicas mais atuais do mercado e ainda terá acesso a muitas dicas para fazer os seus eventos se tornarem um sucesso. Inscreva-se agora!;Agentes públicos, empresários, autônomos e profissionais de eventos. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;"Módulo 1: Introdução a Eventos Virtuais (tipologia e classificação de eventos);Módulo 2: Planejamento e Organização de Evento;Módulo 3: Gestão de eventos;Módulo 4: Ferramentas, aplicativos e plataformas para eventos virtuais e híbridos.";23/12/2021;;
675;Ferramentas de Gestão no Teletrabalho (PDP);https://www.escolavirtual.gov.br/curso/675;Comunicação;Enap;Enap - Escola Nacional de Administração Pública;13;30;Curso Aberto;O teletrabalho é uma realidade cada vez mais presente no dia a dia. Por isso, estar atento às ferramentas que podem aumentar a produtividade e diminuir cargas desnecessárias de trabalho é essencial. Neste curso, você vai conhecer as melhores ferramentas para reuniões online, trabalho em equipe e análise de dados. Melhore a sua vida conhecendo ferramentas úteis que vão facilitar o trabalho remoto.;Agentes públicos, empresários, profissionais autônomos e pessoas interessadas em desenvolver habilidades na utilização de ferramentas úteis para o contexto do teletrabalho. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;"Módulo 1: Traduzindo o Mundo da Tecnologia;Módulo 2: Melhores Ferramentas para Reuniões Online;Módulo 3: Melhores Ferramentas para Produtividade no Trabalho;Módulo 4: Melhores Ferramentas para o Trabalho Remoto em Equipe;Módulo 5: Melhores Ferramentas para Monitoramento e Análise de Dados.";07/01/2022;;
