id_curso;nome_curso;Link;eixos_tematicos;certificador;conteudista;carga_horaria;disponibilidade_dias;tipo_oferta;apresentacao;publico_alvo;conteudo_programatico;data_lancamento;Acessibilidade;Observacao
3;Módulo Introdução às Práticas Integrativas e Complementares em Saúde: Musicoterapia;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=695;Saúde;Avasus;UFRN / SEDIS / LAIS / CAV-UFPE / PNPIC / MS;60;;; A Musicoterapia foi incluída na Política Nacional de Práticas Integrativas e Complementares no SUS por meio da Portaria nº 849, de 27 de Abril de 2017. Este módulo é voltado para o fortalecimento de ações e serviços de PICS na Rede de Atenção à Saúde, por meio da promoção de conhecimento, interação e trocas de experiências na temática das PICS, com base nas diretrizes da Política Nacional de Práticas Integrativas e Complementares no SUS em conformidade com os princípios estabelecidos para a Educação Permanente. Foi elaborado em 06 unidades, que abrangem conhecimentos necessários para a compreensão dos elementos que compõem importantes conteúdos em musicoterapia, desde o campo do conhecimento e a Musicoterapia como prática de Saúde até exemplos de práticas musicoterapêuticas com diferentes tipos de populações, em condições e necessidades de saúde variadas realizadas no Brasil.;;;2024;;
4;Auditoria do Sistema Único de Saúde (SUS) baseada em Risco;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=693;Saúde;Avasus;ESUFRN / UFRN / SEDIS / LAIS / MS;20;;;Reconhecer a metodologia da auditoria baseada em risco como estratégia prioritária do Sistema Nacional de Auditoria (SNA) do SUS, por essa proporcionar produtos de auditoria revestidos de materialidade e criticidade, que poderão embasar a tomada de decisão da gestão SUS, tendo como horizonte a assistência à saúde de qualidade e em tempo oportuno à população.;;;2024;;
5;Capacitação sobre estratégias de uso e distribuição dos testes rápidos de HIV, sífilis e hepatites B e C no Brasil -;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=683;Saúde;Avasus;UFRN / SEDIS / LAIS / UNESCO / OPAS / SBDST / MS;30;;;Noções gerais sobre uso e distribuição de testes rápidos de HIV, sífilis e hepatites B e C. Aspectos da qualidade de diagnóstico das IST por testes rápidos.Diagnóstico laboratorial das IST. Diagnóstico da sífilis. ;;;2024;;
7;Módulo Introdução às Práticas Integrativas e Complementares em Saúde: Automassagem;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=681;Saúde;Avasus;UFRN / SEDIS / LAIS / CAV-UFPE / PNPIC / MS;40;;;Nosso objetivo é qualificar, instrumentalizar todos os trabalhadores do SUS e proporcionar a construção do conhecimento sobre Automassagem para diversos atores sociais interessados na temática, seja você um profissional de saúde, gestor de serviços, praticante de Automassagem ou simplesmente alguém que deseja aprender mais sobre esta temática como abordagem de cuidado em saúde. Importante compreender que a Automassagem pode estar presente em diversos pontos da Rede de Atenção à Saúde e para a compreensão sobre o tema, dividimos pedagogicamente este módulo enfocando os seguintes conteúdos:;;;2024;;
8;Introdução às Práticas Integrativas e Complementares em Saúde: Shantala;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=680;Saúde;Avasus;UFRN / SEDIS / LAIS / CAV-UFPE / PNPIC / MS;40;;;Nosso objetivo é qualificar, instrumentalizar todos os trabalhadores do SUS e proporcionar a construção do conhecimento sobre Shantala para diversos atores sociais interessados na temática, seja você um profissional de saúde, gestor de serviços, usuário da Shantala ou simplesmente alguém que deseja aprender mais sobre esta temática como abordagem de cuidado em saúde. Importante compreender que a Shantala pode estar presente em diversos pontos da Rede de Atenção à Saúde e para a compreensão sobre o tema, dividimos pedagogicamente este módulo enfocando os seguintes conteúdos:;;;2024;;
11;Manejo Nutricional do Recém-Nascido Pré-Termo;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=674;Saúde;Avasus;UFRN / SEDIS / LAIS / MS;30;;;Neste módulo vamos apresentar as diversas formas de alimentar o recém-nascido prematuro, assim como introdução e manejo da alimentação nesses bebês tão pequenos, proporcionando, na medida do possível, uma dieta equilibrada, com um bom crescimento nutricional. Conheceremos melhor a fábrica do leite humano, entendendo o seu funcionamento e suas dificuldades no manejo. ;;;2024;;
12;Atenção de enfermagem em pacientes submetido ao transplante hepático (100h);https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=673;Saúde;Avasus;UFRN / SEDIS / LAIS / EBSERH / HUOL / MS;100;;;Entender o processo do cuidado com o paciente submetido ao transplante hepático desde a admissão na unidade até a sua alta hospitalar.;;;2024;;
13;Introdução às Práticas Integrativas e Complementares em Saúde: Aromaterapia;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=672;Saúde;Avasus;PNPIC / CAV-UFPE / UFRN / SEDIS / LAIS / MS;40;;;O Módulo Introdução às PICS: Aromaterapia está elaborado em 08 unidades, abrange conhecimentos necessários para a compreensão dos elementos que compõem desde o contexto histórico da aromaterapia até as dimensões de atuação desta prática integrativa e complementar em saúde no cotidiano do cuidado.;;;2024;;
16;Curso de Qualificação dos Profissionais da Saúde para Aplicação de Plantas Medicinais e Fitoterápicos noTratamento de Feridas (140h);https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=686;Saúde;Avasus;UFRN / SEDIS / LAIS / PNPIC / Fiocruz / MS;140;;;Nosso objetivo é qualificar, instrumentalizar o maior contingente possível de profissionais de saúde, de nível superior, dos serviços do SUS e proporcionar a construção do conhecimento sobre a aplicação de Plantas Medicinais e Fitoterápicos para Tratamento de Feridas nos serviços da Rede de Atenção à Saúde, com enfoque prioritário na Atenção Primária à Saúde, assim como para diversos atores sociais interessados na temática, seja você um profissional de saúde, gestor de serviços, usuário de plantas medicinais e fitoterápicos  ou simplesmente alguém que deseja aprender mais sobre esta temática como abordagem de cuidado em saúde.;;;2024;;
17;Preenchimento da Declaração de Nascido Vivo;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=685;Saúde;Avasus;UFRN / SEDIS / LAIS / IFRN / MS;60;;;Apresentar os conceitos relacionados à DNV, bem como possibilitar o real entendimento sobre a importância do formulário da DNV e uso dos dados do SINASC para produção de informações.;;;2024;;
18;Acesso e acolhimento das populações-chave do HIV AIDS nos serviços de saúde - ATUALIZADO;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=684;Saúde;Avasus;UNESCO / LAIS / SEDIS / UFRN / Fiocruz / UNA-SUS / MS;30;;;Apresentar habilidades de comunicação e acolhimento para atendimento a populações-chave com HIV/AIDS.;;;2024;;
19;Emergency Care Medicine;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=671;Saúde;Avasus;SEDIS / LAIS / UFRN / REDEUNIDA / Universitá di Parma / Mandalay / MS;60;;;The course teaches basic techniques for assisting victims of trauma, cardiac arrest, and choking, with a focus on CPR, AED use, emergency response, and the importance of rapid action, teamwork, and communication.;;;2024;;
20;Atenção à Saúde da Pessoa com Deficiência;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=670;Saúde;Avasus;UFRN / SEDIS / LAIS / PEPSUS / MS;30;;;Entender o processo do cuidado com o paciente submetido ao transplante hepático desde a admissão na unidade até a sua alta hospitalar.;;;2024;;
21;O exame urodinâmico na prática clínica ginecológica;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=668;Saúde;Avasus;UFRN / SEDIS / LAIS / EBSERH / HUOL / MS;30;;;"Apresentar noções gerais sobre epidemiologia e vigilância dos agravos: sífilis; HIV/aids; hepatites virais; tuberculose";;;2024;;
23;Vigilância Epidemiológica de Tuberculose;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=665;Saúde;Avasus;UFRN / SEDIS / LAIS / SBIBAE / MS;10;;;Introdução à vigilância da tuberculose. Características da Infecção por tuberculose. Tipos diagnósticos. Exames: Bacteriológicos e Laboratoriais. Tratamento. Medidas de prevenção e controle. Vigilância Epidemiológica. Definições de caso. Notificação. Critérios para seleção de casos para ações de controle. Busca ativa de casos. Ações de promoção de saúde.;;;2023;;
24;Vigilância Epidemiológica das Hepatites Virais;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=664;Saúde;Avasus;UFRN / SEDIS / LAIS / SBIBAE / MS;10;;; Introdução à vigilância das hepatites virais. Histórico de enfrentamento às hepatites virais. Características das hepatites virais. Manifestações clínicas e complicações das hepatites virais. Métodos diagnósticos e tratamento das hepatites virais. Medidas de prevenção e controle das hepatites virais. Introdução à vigilância epidemiológicas das hepatites virais. Definição de caso. Notificação. Investigação epidemiológica. Contribuição com o controle e a eliminação das hepatites virais.;;;2024;;
26;Vigilância Epidemiológica de HIV e aids;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=662;Saúde;AVASUS;UFRN / SEDIS / LAIS / SBIBAE / MS;10;;;Introdução à vigilância do HIV e da aids. Características da infecção pelo HIV e da aids. Objetivo da vigilância epidemiológica do HIV e aids. Vigilância Epidemiológica do HIV e aids e Sistemas de Informação. Definição de caso. Notificação. Vigilância Epidemiológica do HIV e aids. Hemovigilância. Notificação e os instrumentos de notificação. Vigilância e Investigação de casos HIV e aids. Dicas da Notificação de HIV. Outras considerações importantes. Exercícios sobre notificação de casos. Perguntas frequentes. Medidas e estratégias de prevenção e controle. Estratégias.;;;2024;;
27;Gestão em Saúde e Segurança do Paciente;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=661;Saúde;Avasus;UFRN / SEDIS / LAIS / MS;40;;;Informar e capacitar os gestores da saúde sobre a importância da segurança do paciente para a gestão, bem como abordar os aspectos práticos para alcançar melhores resultados.;;;2024;;
28;Princípios da Vigilância Epidemiológica;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=660;Saúde;Avasus;UFRN / SEDIS / LAIS / SBIBAE / MS;40;;;Os cursos Vigilância tem como objetivo proporcionar capacitação, atualização e desenvolvimento dos profissionais para executarem as ações do Sistema Nacional de Vigilância em Saúde, das hepatites virais, do HIV/aids, da sífilis, e da tuberculose por meio da modalidade de Educação a Distância (EAD), contribuindo para o aprimoramento das práticas da vigilância em saúde no Brasil.;;;2024;;
33;Aspectos psicológicos na Esclerose Lateral Amiotrófica;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=628;Saúde;Avasus;UFRN / SEDIS / LAIS / MS;15;;;Esclarecer que as perdas progressivas na esclerose lateral amiotrófica causam importantes prejuízos emocionais, sociais, cognitivos e comportamentais, a fim de orientar aos familiares e cuidadores.;;;2024;;
35;Conhecendo a Unidade de Cuidado Intermediário Canguru (UCINCa) e a etapa ambulatorial;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=624;Saúde;Avasus;UFRN / SEDIS / LAIS / MS;30;;;Conhecer a Unidade de Cuidado Intermediário Neonatal Canguru (UCINCa) no que se refere ao dia a dia do profissional, dos pais e familiares, durante todo o internamento na maternidade e sua preparação para alta hospitalar.;;;2024;;
36;Manejo das pessoas que vivem com HIV/aids (PVHA), com contagem de células LT - CD4 abaixo de 200 mm³ -;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=622;Saúde;Avasus;PEPFAR / ICAP / CDC / UFRN / SEDIS / LAIS / MS;40;;;"Objetiva agilizar a identificação das pessoas que vivem com aids, com especial atenção para as pessoas com sinais de alarme; instrumentalizar o diagnóstico precoce (para tratamento imediato) de criptococose, tuberculose e histoplasmose; identificar pessoas que se beneficiam de tratamento preemptivo para criptococose e histoplasmose; prevê a aplicação dos testes rápidos já no momento do acolhimento, antes mesmo da consulta médica; discutir fluxos, fortalecendo a Rede de Cuidado das PVHA.";;;2023;;
39;Desafios da sífilis adquirida na Atenção Primária à Saúde: prevenção, diagnóstico e tratamento.;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=619;Saúde;Avasus;SEDIS / LAIS / UFRN / MS;4;;;Refletir sobre a importância da Atenção Primária à Saúde na prevenção, no diagnóstico e no tratamento da sífilis adquirida.;;;2023;;
54;Atualização do PCDT de IST com destaque para Sífilis;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=602;Saúde;Avasus;SEDIS / LAIS / UFRN / MS;2;;;Apresentar atualizações sobre testes diagnósticos da sífilis;;;2023;;
55;Acompanhamento de bebês com sífilis congênita;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=601;Saúde;Avasus;SEDIS / LAIS / UFRN / MS;4;;; Apresentar o acompanhamento e a condução dos casos de crianças expostas e com sífilis congênita no Brasil.;;;2023;;
56;A Situação da Sífilis no Brasil;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=599;Saúde;Avasus;SEDIS / LAIS / UFRN / MS;2;;;Este é um módulo que traz na sua centralidade o debate sobre a situação da sífilis no Brasil. Aborda o perfil epidemiológico da sífilis no Brasil, bem como os desafios de controle dessa doença.;;;2023;;
57;Abordagem IST centrada na pessoa com vida sexual ativa;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=598;Saúde;Avasus;UFRN / SEDIS / LAIS / MS;4;;;Promover uma discussão entre profissionais com expertise na área da saúde sobre a importância da abordagem centrada na pessoa com vida sexual ativa para promoção da saúde sexual e prevenção das IST, bem como apresentar o manejo terapêutico recomendado pelo PCDT.;;;2023;;
58;Diagnóstico laboratorial em IST;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=597;Saúde;Avasus;UFRN / SEDIS / LAIS / MS;4;;;O curso discute o diagnóstico das IST (exceto sífilis), abordando exames recomendados, interpretação, manejo com ou sem testes laboratoriais, abordagem sindrômica e etiológica segundo o PCDT, além de destacar exames ofertados pelo SUS e o manejo de diferentes manifestações clínicas.;;;2023;;
59;HTLV;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=596;Saúde;Avasus;UFRN / SEDIS / LAIS / MS;4;;;Promover uma discussão entre profissionais com expertise na área da saúde sobre a etiologia e a epidemiologia do vírus HTLV, bem como apresentar o manejo terapêutico recomendado pelo PCDT.;;;2023;;
60;Vírus Zika;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=595;Saúde;Avasus;UFRN / SEDIS / LAIS / MS;4;;; Apresentar a epidemiologia sexual do Zika vírus e o seu comportamento na população com ênfase na fase da gestação.;;;2023;;
61;A importância das notificações da sífilis para orientar as políticas públicas;https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=594;Saúde;Avasus;SEDIS / LAIS / UFRN / MS;10;;;Reconhecer o impacto das notificações da sífilis para orientar as políticas públicas de combate e erradicação da doença.;;;2023;;
63;Violência sexual e profilaxia de Infecções Sexualmente Transmissíveis (IST);https://avasus.ufrn.br/local/avasplugin/cursos/curso.php?id=592;Saúde;Avasus;UFRN / SEDIS / LAIS / MS;3;;;Reconhecer os principais aspectos inseridos no debate sobre violência sexual e a profilaxia de IST.;;;2023;;
